Rank,Year,Movie,Worldwide,Domestic,International
1,2019,Avengers: Endgame,"$2,797,800,564 ","$858,373,000 ","$1,939,427,564 "
2,2009,Avatar,"$2,788,701,337 ","$760,507,625 ","$2,028,193,712 "
3,1997,Titanic,"$2,207,986,545 ","$659,363,944 ","$1,548,622,601 "
4,2015,Star Wars Ep. VII: The Force Awakens,"$2,065,478,084 ","$936,662,225 ","$1,128,815,859 "
5,2018,Avengers: Infinity War,"$2,044,540,523 ","$678,815,482 ","$1,365,725,041 "
6,2015,Jurassic World,"$1,669,943,967 ","$652,270,625 ","$1,017,673,342 "
7,2019,The Lion King,"$1,654,791,102 ","$543,638,043 ","$1,111,153,059 "
8,2015,Furious 7,"$1,518,722,794 ","$353,007,020 ","$1,165,715,774 "
9,2012,The Avengers,"$1,515,100,211 ","$623,357,910 ","$891,742,301 "
10,2019,Frozen II,"$1,447,265,743 ","$477,373,578 ","$969,892,165 "
11,2015,Avengers: Age of Ultron,"$1,396,099,202 ","$459,005,868 ","$937,093,334 "
12,2018,Black Panther,"$1,336,547,105 ","$700,059,566 ","$636,487,539 "
13,2011,Harry Potter and the Deathly Hallows:…,"$1,335,157,491 ","$381,193,157 ","$953,964,334 "
14,2017,Star Wars Ep. VIII: The Last Jedi,"$1,332,539,889 ","$620,181,382 ","$712,358,507 "
15,2018,Jurassic World: Fallen Kingdom,"$1,308,334,005 ","$417,719,760 ","$890,614,245 "
16,2013,Frozen,"$1,268,074,252 ","$400,738,009 ","$867,336,243 "
17,2017,Beauty and the Beast,"$1,256,143,089 ","$504,014,165 ","$752,128,924 "
18,2018,Incredibles 2,"$1,242,805,359 ","$608,581,744 ","$634,223,615 "
19,2017,The Fate of the Furious,"$1,236,703,796 ","$225,764,765 ","$1,010,939,031 "
20,2013,Iron Man 3,"$1,215,392,272 ","$408,992,272 ","$806,400,000 "
21,2015,Minions,"$1,159,631,140 ","$336,045,770 ","$823,585,370 "
22,2016,Captain America: Civil War,"$1,151,918,521 ","$408,084,349 ","$743,834,172 "
23,2018,Aquaman,"$1,143,966,520 ","$335,061,807 ","$808,904,713 "
24,2019,Spider-Man: Far From Home,"$1,130,108,036 ","$390,532,085 ","$739,575,951 "
25,2019,Captain Marvel,"$1,129,729,839 ","$426,829,839 ","$702,900,000 "
